Freq.	Ic(Q8)
Step Information: Cl=1µ  (Step: 1/2)
2.23872113856833e+01	(8.84721650902270e+01dB,-6.16481149323623e+01°)
2.29086765276776e+01	(8.83166387252212e+01dB,-6.21988258663748e+01°)
2.34422881531991e+01	(8.81595400594423e+01dB,-6.27425014350219e+01°)
2.39883291901948e+01	(8.80009098863859e+01dB,-6.32790428477915e+01°)
2.45470891568502e+01	(8.78407889926133e+01dB,-6.38083626935358e+01°)
2.51188643150957e+01	(8.76792180738722e+01dB,-6.43303846717187e+01°)
2.57039578276885e+01	(8.75162376562405e+01dB,-6.48450433019656e+01°)
2.63026799189537e+01	(8.73518880217745e+01dB,-6.53522836061482e+01°)
2.69153480392690e+01	(8.71862091394202e+01dB,-6.58520607758910e+01°)
2.75422870333815e+01	(8.70192406008036e+01dB,-6.63443398224733e+01°)
2.81838293126444e+01	(8.68510215607071e+01dB,-6.68290952096068e+01°)
2.88403150312659e+01	(8.66815906829758e+01dB,-6.73063104829445e+01°)
2.95120922666637e+01	(8.65109860907505e+01dB,-6.77759778839975e+01°)
3.01995172040200e+01	(8.63392453217171e+01dB,-6.82380979626699e+01°)
3.09029543251358e+01	(8.61664052879124e+01dB,-6.86926791853974e+01°)
3.16227766016837e+01	(8.59925022399429e+01dB,-6.91397375413534e+01°)
3.23593656929627e+01	(8.58175717356119e+01dB,-6.95792961506275e+01°)
3.31131121482590e+01	(8.56416486125186e+01dB,-7.00113848728160e+01°)
3.38844156139201e+01	(8.54647669647212e+01dB,-7.04360399208319e+01°)
3.46736850452530e+01	(8.52869601231522e+01dB,-7.08533034811020e+01°)
3.54813389233574e+01	(8.51082606394442e+01dB,-7.12632233374751e+01°)
3.63078054770100e+01	(8.49287002732884e+01dB,-7.16658525069607e+01°)
3.71535229097171e+01	(8.47483099826666e+01dB,-7.20612488788624e+01°)
3.80189396320559e+01	(8.45671199173283e+01dB,-7.24494748700774e+01°)
3.89045144994279e+01	(8.43851594146850e+01dB,-7.28305970848062e+01°)
3.98107170553495e+01	(8.42024569984402e+01dB,-7.32046859891183e+01°)
4.07380277804111e+01	(8.40190403793969e+01dB,-7.35718155944030e+01°)
4.16869383470333e+01	(8.38349364584893e+01dB,-7.39320631542000e+01°)
4.26579518801591e+01	(8.36501713317216e+01dB,-7.42855088725076e+01°)
4.36515832240164e+01	(8.34647702968426e+01dB,-7.46322356234746e+01°)
4.46683592150961e+01	(8.32787578616455e+01dB,-7.49723286841287e+01°)
4.57088189614873e+01	(8.30921577536769e+01dB,-7.53058754789271e+01°)
4.67735141287196e+01	(8.29049929312897e+01dB,-7.56329653383638e+01°)
4.78630092322636e+01	(8.27172855956509e+01dB,-7.59536892651804e+01°)
4.89778819368444e+01	(8.25290572039454e+01dB,-7.62681397180762e+01°)
5.01187233627270e+01	(8.23403284832645e+01dB,-7.65764104027413e+01°)
5.12861383991362e+01	(8.21511194453386e+01dB,-7.68785960772505e+01°)
5.24807460249770e+01	(8.19614494018585e+01dB,-7.71747923676557e+01°)
5.37031796370250e+01	(8.17713369802273e+01dB,-7.74650955927770e+01°)
5.49540873857622e+01	(8.15808001398779e+01dB,-7.77496026030281e+01°)
5.62341325190346e+01	(8.13898561888271e+01dB,-7.80284106277830e+01°)
5.75439937337154e+01	(8.11985218004363e+01dB,-7.83016171307146e+01°)
5.88843655355586e+01	(8.10068130304682e+01dB,-7.85693196794565e+01°)
6.02559586074355e+01	(8.08147453340700e+01dB,-7.88316158185238e+01°)
6.16595001861479e+01	(8.06223335829624e+01dB,-7.90886029567301e+01°)
6.30957344480190e+01	(8.04295920824742e+01dB,-7.93403782589305e+01°)
6.45654229034652e+01	(8.02365345885831e+01dB,-7.95870385479610e+01°)
6.60693448007593e+01	(8.00431743248078e+01dB,-7.98286802138586e+01°)
6.76082975391978e+01	(7.98495239989045e+01dB,-8.00653991288957e+01°)
6.91830970918933e+01	(7.96555958194660e+01dB,-8.02972905731801e+01°)
7.07945784384134e+01	(7.94614015121624e+01dB,-8.05244491620080e+01°)
7.24435960074986e+01	(7.92669523358322e+01dB,-8.07469687839605e+01°)
7.41310241300914e+01	(7.90722590982439e+01dB,-8.09649425424451e+01°)
7.58577575029180e+01	(7.88773321715610e+01dB,-8.11784627036496e+01°)
7.76247116628688e+01	(7.86821815074662e+01dB,-8.13876206485203e+01°)
7.94328234724277e+01	(7.84868166520182e+01dB,-8.15925068325566e+01°)
8.12830516164095e+01	(7.82912467600732e+01dB,-8.17932107468639e+01°)
8.31763771102667e+01	(7.80954806094279e+01dB,-8.19898208866970e+01°)
8.51138038202372e+01	(7.78995266145461e+01dB,-8.21824247216910e+01°)
8.70963589956076e+01	(7.77033928399469e+01dB,-8.23711086716209e+01°)
8.91250938133741e+01	(7.75070870132081e+01dB,-8.25559580853046e+01°)
9.12010839355905e+01	(7.73106165375881e+01dB,-8.27370572224771e+01°)
9.33254300796986e+01	(7.71139885042902e+01dB,-8.29144892390655e+01°)
9.54992586021431e+01	(7.69172097043408e+01dB,-8.30883361762629e+01°)
9.77237220955805e+01	(7.67202866401002e+01dB,-8.32586789512833e+01°)
9.99999999999995e+01	(7.65232255363957e+01dB,-8.34255973508917e+01°)
1.02329299228075e+02	(7.63260323513020e+01dB,-8.35891700280602e+01°)
1.04712854805089e+02	(7.61287127865370e+01dB,-8.37494744994822e+01°)
1.07151930523760e+02	(7.59312722975411e+01dB,-8.39065871470905e+01°)
1.09647819614318e+02	(7.57337161031664e+01dB,-8.40605832194559e+01°)
1.12201845430196e+02	(7.55360491950350e+01dB,-8.42115368361135e+01°)
1.14815362149688e+02	(7.53382763465776e+01dB,-8.43595209932346e+01°)
1.17489755493952e+02	(7.51404021217181e+01dB,-8.45046075711388e+01°)
1.20226443461741e+02	(7.49424308832440e+01dB,-8.46468673422551e+01°)
1.23026877081237e+02	(7.47443668008728e+01dB,-8.47863699815465e+01°)
1.25892541179416e+02	(7.45462138589880e+01dB,-8.49231840767641e+01°)
1.28824955169313e+02	(7.43479758641018e+01dB,-8.50573771413018e+01°)
1.31825673855640e+02	(7.41496564520066e+01dB,-8.51890156265002e+01°)
1.34896288259165e+02	(7.39512590946485e+01dB,-8.53181649359223e+01°)
1.38038426460288e+02	(7.37527871067319e+01dB,-8.54448894399323e+01°)
1.41253754462275e+02	(7.35542436520447e+01dB,-8.55692524907130e+01°)
1.44543977074592e+02	(7.33556317495332e+01dB,-8.56913164386820e+01°)
1.47910838816820e+02	(7.31569542791203e+01dB,-8.58111426491127e+01°)
1.51356124843620e+02	(7.29582139872833e+01dB,-8.59287915192473e+01°)
1.54881661891247e+02	(7.27594134923876e+01dB,-8.60443224953001e+01°)
1.58489319246110e+02	(7.25605552897960e+01dB,-8.61577940914639e+01°)
1.62181009735892e+02	(7.23616417567559e+01dB,-8.62692639072251e+01°)
1.65958690743755e+02	(7.21626751570711e+01dB,-8.63787886470312e+01°)
1.69824365246173e+02	(7.19636576455613e+01dB,-8.64864241385786e+01°)
1.73780082874936e+02	(7.17645912723263e+01dB,-8.65922253522881e+01°)
1.77827941003891e+02	(7.15654779868088e+01dB,-8.66962464203257e+01°)
1.81970085860997e+02	(7.13663196416765e+01dB,-8.67985406569173e+01°)
1.86208713666286e+02	(7.11671179965055e+01dB,-8.68991605772063e+01°)
1.90546071796323e+02	(7.09678747213136e+01dB,-8.69981579177187e+01°)
1.94984459975803e+02	(7.07685913998936e+01dB,-8.70955836559787e+01°)
1.99526231496887e+02	(7.05692695330001e+01dB,-8.71914880301728e+01°)
2.04173794466952e+02	(7.03699105413703e+01dB,-8.72859205600023e+01°)
2.08929613085403e+02	(7.01705157685856e+01dB,-8.73789300658683e+01°)
